carat,cut,color,clarity,depth,table,price,size
0.23,Ideal,E,SI2,61.5,55.0,326,38.20203
0.21,Premium,E,SI1,59.8,61.0,326,34.505856
0.23,Good,E,VS1,56.9,65.0,327,38.076885
0.29,Premium,I,VS2,62.4,58.0,334,46.72458
0.31,Good,J,SI2,63.3,58.0,335,51.917249999999996
0.24,Very Good,J,VVS2,62.8,57.0,336,38.693951999999996
0.24,Very Good,I,VVS1,62.3,57.0,336,38.830870000000004
0.26,Very Good,H,SI1,61.9,55.0,337,42.321081
0.22,Fair,E,VS2,65.1,61.0,337,36.425214000000004
0.23,Very Good,H,VS1,59.4,61.0,338,38.718
0.3,Good,J,SI1,64.0,55.0,339,49.6587
0.23,Ideal,J,VS1,62.8,56.0,340,37.70442
0.22,Premium,F,SI1,60.4,61.0,342,34.715136
0.31,Ideal,J,SI2,62.2,54.0,344,51.515744999999995
0.2,Premium,E,SI2,60.2,62.0,345,32.262375
0.32,Premium,E,I1,60.9,58.0,345,51.883728000000005
0.3,Ideal,I,SI2,62.0,54.0,348,50.130472
0.3,Good,J,SI1,63.4,54.0,351,48.99609000000001
0.3,Good,J,SI1,63.8,56.0,351,48.833658
0.3,Very Good,J,SI1,62.7,59.0,351,47.818022
0.3,Good,I,SI2,63.3,56.0,351,49.64177999999999
0.23,Very Good,E,VS2,63.8,55.0,352,37.42816
0.23,Very Good,H,VS1,61.0,57.0,353,37.601784
0.31,Very Good,J,SI1,59.4,62.0,353,50.952974
0.31,Very Good,J,SI1,58.1,62.0,353,51.403212
0.23,Very Good,G,VVS2,60.4,58.0,354,38.366477
0.24,Premium,I,VS1,62.5,57.0,355,38.635246
0.3,Very Good,J,VS2,62.2,57.0,357,49.13868
0.23,Very Good,D,VS2,60.5,61.0,357,37.73088
0.23,Very Good,F,VS1,60.9,57.0,357,38.236968000000005
0.23,Very Good,F,VS1,60.0,57.0,402,38.8492
0.23,Very Good,F,VS1,59.8,57.0,402,39.693808
0.23,Very Good,E,VS1,60.7,59.0,402,38.525674
0.23,Very Good,E,VS1,59.5,58.0,402,39.07343999999999
0.23,Very Good,D,VS1,61.9,58.0,402,37.876608
0.23,Good,F,VS1,58.2,59.0,402,39.258576
0.23,Good,E,VS1,64.1,59.0,402,36.27393
0.31,Good,H,SI1,64.0,54.0,402,50.847224999999995
0.26,Very Good,D,VS2,60.8,59.0,403,43.295616
0.33,Ideal,I,SI2,61.8,55.0,403,56.294722
0.33,Ideal,I,SI2,61.2,56.0,403,55.563750000000006
0.33,Ideal,J,SI1,61.1,56.0,403,56.385419999999996
0.26,Good,D,VS2,65.2,56.0,403,41.863878
0.26,Good,D,VS1,58.4,63.0,403,43.703376000000006
0.32,Good,H,SI2,63.1,56.0,403,52.155950000000004
0.29,Premium,F,SI1,62.4,58.0,403,47.865359999999995
0.32,Very Good,H,SI2,61.8,55.0,403,52.105169999999994
0.32,Good,H,SI2,63.8,56.0,403,53.280072000000004
0.25,Very Good,E,VS2,63.3,60.0,404,40.9448
0.29,Very Good,H,SI2,60.7,60.0,404,49.954344000000006
0.24,Very Good,F,SI1,60.9,61.0,404,39.691469999999995
0.23,Ideal,G,VS1,61.9,54.0,404,37.877340000000004
0.32,Ideal,I,SI1,60.9,55.0,404,54.225920000000016
0.22,Premium,E,VS2,61.6,58.0,404,36.843357000000005
0.22,Premium,D,VS2,59.3,62.0,404,35.044548
0.3,Ideal,I,SI2,61.0,59.0,405,48.967969999999994
0.3,Premium,J,SI2,59.3,61.0,405,50.64287399999999
0.3,Very Good,I,SI1,62.6,57.0,405,48.5673
0.3,Very Good,I,SI1,63.0,57.0,405,50.10681600000001
0.3,Good,I,SI1,63.2,55.0,405,49.22775000000001
0.35,Ideal,I,VS1,60.9,57.0,552,57.931307999999994
0.3,Premium,D,SI1,62.6,59.0,552,48.04518600000001
0.3,Ideal,D,SI1,62.5,57.0,552,49.853232000000006
0.3,Ideal,D,SI1,62.1,56.0,552,49.898920000000004
0.42,Premium,I,SI2,61.5,59.0,552,68.480192
0.28,Ideal,G,VVS2,61.4,56.0,553,45.619044
0.32,Ideal,I,VVS1,62.0,55.3,553,52.97237399999999
0.31,Very Good,G,SI1,63.3,57.0,553,50.82987
0.31,Premium,G,SI1,61.8,58.0,553,50.362559999999995
0.24,Premium,E,VVS1,60.7,58.0,553,39.431132
0.24,Very Good,D,VVS1,61.5,60.0,553,38.906000000000006
0.3,Very Good,H,SI1,63.1,56.0,554,49.45941
0.3,Premium,H,SI1,62.9,59.0,554,48.634496000000006
0.3,Premium,H,SI1,62.5,57.0,554,48.680775000000004
0.3,Good,H,SI1,63.7,57.0,554,49.593216000000005
0.26,Very Good,F,VVS2,59.2,60.0,554,44.027682
0.26,Very Good,E,VVS2,59.9,58.0,554,44.06179500000001
0.26,Very Good,D,VVS2,62.4,54.0,554,43.137024000000004
0.26,Very Good,D,VVS2,62.8,60.0,554,41.08846499999999
0.26,Very Good,E,VVS1,62.6,59.0,554,42.34377
0.26,Very Good,E,VVS1,63.4,59.0,554,41.208
0.26,Very Good,D,VVS1,62.1,60.0,554,42.007107999999995
0.26,Ideal,E,VVS2,62.9,58.0,554,41.455847999999996
0.38,Ideal,I,SI2,61.6,56.0,554,62.32348500000001
0.26,Good,E,VVS1,57.9,60.0,554,43.94075
0.24,Premium,G,VVS1,62.3,59.0,554,37.9358
0.24,Premium,H,VVS1,61.2,58.0,554,38.746224
0.24,Premium,H,VVS1,60.8,59.0,554,39.23519999999999
0.24,Premium,H,VVS2,60.7,58.0,554,40.449288
0.32,Premium,I,SI1,62.9,58.0,554,51.420915
0.7,Ideal,E,SI1,62.5,57.0,2757,116.39627999999999
0.86,Fair,E,SI2,55.1,69.0,2757,143.71632
0.7,Ideal,G,VS2,61.6,56.0,2757,113.1165
0.71,Very Good,E,VS2,62.4,57.0,2759,115.865184
0.78,Very Good,G,SI2,63.8,56.0,2759,126.43721999999998
0.7,Good,E,VS2,57.5,58.0,2759,116.66069999999999
0.7,Good,F,VS1,59.4,62.0,2759,111.82464
0.96,Fair,F,SI2,66.3,62.0,2759,151.837455
0.73,Very Good,E,SI1,61.6,59.0,2760,118.728136
0.8,Premium,H,SI1,61.5,58.0,2760,129.571686
0.75,Very Good,D,SI1,63.2,56.0,2760,121.7275
0.75,Premium,E,SI1,59.9,54.0,2760,128.0208
